market_id,year,product_id,owner_id,price,branches,share,markup,marginal_cost,lerner_index,outside_share,hhi
north,2022,Bank_A_1,Bank_A,1.8549173343096512,11,0.09720891580186637,0.873028559740781,0.9818887745688702,0.47065631637201666,0.7232557401735344,241.3827281976035
north,2022,Bank_A_2,Bank_A,2.290518245853265,9,0.05431856577252688,0.873028559740781,1.417489686112484,0.3811489217871565,0.7232557401735344,241.3827281976035
north,2022,Bank_B,Bank_B,2.405143836677174,3,0.018457669183506647,0.7546701935152991,1.650473643161875,0.3137734142993766,0.7232557401735344,241.3827281976035
north,2022,Bank_C,Bank_C,1.6773531918230487,5,0.1067591090685657,0.8292732097926317,0.8480799820304169,0.4943939140756203,0.7232557401735344,241.3827281976035
south,2022,Bank_A_1,Bank_A,2.0151536963223515,3,0.054460901209435426,0.8191925759866525,1.195961120335699,0.40651617664780415,0.7870787584192109,116.27881361665614
south,2022,Bank_A_2,Bank_A,2.32589525837557,5,0.04130636712966385,0.8191925759866526,1.5067026823889171,0.35220527366257476,0.7870787584192109,116.27881361665614
south,2022,Bank_B,Bank_B,1.948380545400103,3,0.051752438558376655,0.7811680945581241,1.167212450841979,0.40093199267585067,0.7870787584192109,116.27881361665614
south,2022,Bank_C,Bank_C,1.838812453313762,4,0.06540153468331308,0.7925764574091635,1.0462359959045986,0.4310262615313732,0.7870787584192109,116.27881361665614
west,2022,Bank_A_1,Bank_A,1.947701901538721,5,0.05222728849593659,0.85198569663731,1.0957162049014109,0.43743125986796305,0.7140213494089827,230.24961000167815
west,2022,Bank_A_2,Bank_A,1.8651808011323914,6,0.07834410059620475,0.8519856966373099,1.0131951044950815,0.45678450910498924,0.7140213494089827,230.24961000167815
west,2022,Bank_B,Bank_B,1.695397599871554,9,0.10998183372769997,0.8322759790883997,0.8631216207831544,0.4909031245245683,0.7140213494089827,230.24961000167815
west,2022,Bank_C,Bank_C,2.0948658710060526,5,0.04542542777117604,0.7759904383490905,1.318875432656962,0.37042487974488963,0.7140213494089827,230.24961000167815
north,2023,Bank_A_1,Bank_A,2.0633773745025454,6,0.04378422363638998,0.8729875449212361,1.1903898295813093,0.4230867100264209,0.7244033356012651,222.05661887192022
north,2023,Bank_A_2,Bank_A,1.932762739619952,9,0.10770339488676675,0.8729875449212361,1.059775194698716,0.4516785878710056,0.7244033356012651,222.05661887192022
north,2023,Bank_B,Bank_B,2.4004495990042223,6,0.03983904698584709,0.7714755931444569,1.6289740058597655,0.3213879572662087,0.7244033356012651,222.05661887192022
north,2023,Bank_C,Bank_C,1.8193418039018625,5,0.08426999888973102,0.8089073633523374,1.0104344405495251,0.44461538871778206,0.7244033356012651,222.05661887192022
south,2023,Bank_A_1,Bank_A,2.080028453020556,6,0.05637601886747807,0.876504908291456,1.2035235447291002,0.4213908261777003,0.7449273102623353,190.0148185462089
south,2023,Bank_A_2,Bank_A,1.6889063647544584,8,0.09851663063902183,0.876504908291456,0.8124014564630024,0.5189777992333439,0.7449273102623353,190.0148185462089
south,2023,Bank_B,Bank_B,2.2312406583584448,2,0.026641356950592655,0.7610152188304358,1.470225439528009,0.34107267451388473,0.7449273102623353,190.0148185462089
south,2023,Bank_C,Bank_C,2.04848306462463,6,0.07353868328057214,0.799537689672443,1.248945374952187,0.39030720023011395,0.7449273102623353,190.0148185462089
west,2023,Bank_A_1,Bank_A,2.0771775044961993,11,0.06488462559000266,0.8727535891637673,1.2044239153324319,0.42016322017479474,0.6483012545387781,419.8013229370023
west,2023,Bank_A_2,Bank_A,1.9162706429924663,7,0.08637553542464906,0.8727535891637673,1.0435170538286989,0.45544380296974496,0.6483012545387781,419.8013229370023
west,2023,Bank_B,Bank_B,1.501802353606819,10,0.17170905186890909,0.8943001760578291,0.6075021775489899,0.5954846014923494,0.6483012545387781,419.8013229370023
